date,year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
05-Jul-2021,2021,Australia,surfing,M,25,no,2021-07-05 00:00:00,05-Jul-2021,7,Summer
04-Jul-2021,2021,USA,standing,M,8,no,2021-07-04 00:00:00,04-Jul-2021,7,Summer
04-Jul-2021,2021,USA,fishing,F,19,no,2021-07-04 00:00:00,04-Jul-2021,7,Summer
28-Jun-2021,2021,USA,surfing,F,15,unknown,2021-06-28 00:00:00,28-Jun-2021,6,Summer
27-Jun-2021,2021,USA,swimming,F,7,no,2021-06-27 00:00:00,27-Jun-2021,6,Summer
26-Jun-2021,2021,USA,swimming,M,38,no,2021-06-26 00:00:00,26-Jun-2021,6,Summer
23-Jun-2021,2021,Australia,surfing,M,25,no,2021-06-23 00:00:00,23-Jun-2021,6,Summer
18-Jun-2021,2021,USA,standing,M,12,no,2021-06-18 00:00:00,18-Jun-2021,6,Summer
17-Jun-2021,2021,USA,swimming,M,14,no,2021-06-17 00:00:00,17-Jun-2021,6,Summer
14-Jun-2021,2021,USA,standing,M,12,no,2021-06-14 00:00:00,14-Jun-2021,6,Summer
14-Jun-2021,2021,USA,standing,M,71,no,2021-06-14 00:00:00,14-Jun-2021,6,Summer
11-Jun-2021,2021,Australia,snorkeling,M,10,no,2021-06-11 00:00:00,11-Jun-2021,6,Summer
25-May-2021,2021,New Caledonia,fishing,M,15,yes,2021-05-25 00:00:00,25-May-2021,5,Spring
23-May-2021,2021,USA,swimming,M,26,no,2021-05-23 00:00:00,23-May-2021,5,Spring
21-May-2021,2021,Australia,fishing,M,48,no,2021-05-21 00:00:00,21-May-2021,5,Spring
18-May-2021,2021,Australia,surfing,M,59,yes,2021-05-18 00:00:00,18-May-2021,5,Spring
06-May-2021,2021,USA,wading,F,21,no,2021-05-06 00:00:00,06-May-2021,5,Spring
03-May-2021,2021,USA,surfing,M,14,no,2021-05-03 00:00:00,03-May-2021,5,Spring
30-Apr-2021,2021,USA,surfing,F,64,no,2021-04-30 00:00:00,30-Apr-2021,4,Spring
20-Apr-2021,2021,USA,swimming,F,57,no,2021-04-20 00:00:00,20-Apr-2021,4,Spring
14-Apr-2021,2021,South Africa,fishing,M,38,no,2021-04-14 00:00:00,14-Apr-2021,4,Spring
